Date,Open,High,Low,Close,Adj Close,Volume,stock
2005-09-29,266.0,266.0,264.0,266.0,143.857315,1485000.0,AKRA.JK
2005-09-30,270.0,270.0,266.0,270.0,146.020599,1867500.0,AKRA.JK
2005-10-03,270.0,270.0,268.0,270.0,146.020599,1260000.0,AKRA.JK
2005-10-04,270.0,270.0,268.0,270.0,146.020599,3387500.0,AKRA.JK
2005-10-05,274.0,274.0,270.0,274.0,148.183838,7060000.0,AKRA.JK
2005-10-06,274.0,274.0,272.0,274.0,148.183838,4700000.0,AKRA.JK
2005-10-07,274.0,274.0,270.0,274.0,148.183838,5270000.0,AKRA.JK
2005-10-10,282.0,282.0,274.0,282.0,152.510361,8675000.0,AKRA.JK
2005-10-11,288.0,288.0,282.0,288.0,155.755295,9600000.0,AKRA.JK
2005-10-12,294.0,294.0,288.0,294.0,159.000183,6965000.0,AKRA.JK
2005-10-13,304.0,308.0,294.0,304.0,164.408325,9387500.0,AKRA.JK
2005-10-14,310.0,314.0,306.0,310.0,167.653259,7195000.0,AKRA.JK
2005-10-17,,,,,,,AKRA.JK
2005-10-18,314.0,316.0,308.0,314.0,169.816498,4527500.0,AKRA.JK
2005-10-19,312.0,314.0,310.0,312.0,168.734863,4587500.0,AKRA.JK
2005-10-20,,,,,,,AKRA.JK
2005-10-21,310.0,312.0,310.0,310.0,167.653259,2520000.0,AKRA.JK
2005-10-24,310.0,310.0,306.0,310.0,167.653259,4650000.0,AKRA.JK
2005-10-25,,,,,,,AKRA.JK
2005-10-26,308.0,308.0,294.0,308.0,166.571594,6477500.0,AKRA.JK
2005-10-27,308.0,308.0,300.0,308.0,166.571594,1362500.0,AKRA.JK
2005-10-28,308.0,308.0,306.0,308.0,166.571594,3752500.0,AKRA.JK
2005-10-31,306.0,308.0,306.0,306.0,165.490021,3025000.0,AKRA.JK
2005-11-01,310.0,310.0,306.0,310.0,167.653259,5625000.0,AKRA.JK
2005-11-07,,,,,,,AKRA.JK
2005-11-08,,,,,,,AKRA.JK
2005-11-09,,,,,,,AKRA.JK
2005-11-10,312.0,312.0,306.0,312.0,168.734863,4117500.0,AKRA.JK
2005-11-11,310.0,312.0,306.0,310.0,167.653259,2232500.0,AKRA.JK
2005-11-14,304.0,310.0,302.0,304.0,164.408325,2450000.0,AKRA.JK
2005-11-15,304.0,304.0,304.0,304.0,164.408325,3862500.0,AKRA.JK
2005-11-16,304.0,304.0,302.0,304.0,164.408325,4087500.0,AKRA.JK
2005-11-17,300.0,304.0,298.0,300.0,162.245071,3760000.0,AKRA.JK
2005-11-18,306.0,306.0,298.0,306.0,165.490021,6630000.0,AKRA.JK
2005-11-21,308.0,308.0,306.0,308.0,166.571594,7162500.0,AKRA.JK
2005-11-22,308.0,310.0,306.0,308.0,166.571594,6575000.0,AKRA.JK
2005-11-23,308.0,308.0,302.0,308.0,166.571594,4460000.0,AKRA.JK
2005-11-24,308.0,308.0,306.0,308.0,166.571594,4342500.0,AKRA.JK
2005-11-25,308.0,308.0,302.0,308.0,166.571594,3937500.0,AKRA.JK
2005-11-28,310.0,310.0,308.0,310.0,167.653259,7097500.0,AKRA.JK
2005-11-29,312.0,312.0,310.0,312.0,168.734863,7067500.0,AKRA.JK
2005-11-30,318.0,318.0,310.0,318.0,171.979782,12415000.0,AKRA.JK
2005-12-01,316.0,318.0,312.0,316.0,170.898148,4317500.0,AKRA.JK
2005-12-02,320.0,320.0,310.0,320.0,173.061432,9060000.0,AKRA.JK
2005-12-05,320.0,320.0,316.0,320.0,173.061432,5355000.0,AKRA.JK
2005-12-06,318.0,320.0,314.0,318.0,171.979782,4612500.0,AKRA.JK
2005-12-07,322.0,322.0,314.0,322.0,174.143066,8560000.0,AKRA.JK
2005-12-08,322.0,322.0,320.0,322.0,174.143066,5830000.0,AKRA.JK
2005-12-09,322.0,322.0,320.0,322.0,174.143066,5320000.0,AKRA.JK
2005-12-12,330.0,330.0,322.0,330.0,178.469604,10340000.0,AKRA.JK
2005-12-13,330.0,330.0,324.0,330.0,178.469604,4930000.0,AKRA.JK
2005-12-14,322.0,330.0,318.0,322.0,174.143066,4337500.0,AKRA.JK
2005-12-15,322.0,322.0,320.0,322.0,174.143066,3000000.0,AKRA.JK
2005-12-16,320.0,322.0,320.0,320.0,173.061432,2715000.0,AKRA.JK
2005-12-19,300.0,320.0,298.0,300.0,162.245071,4872500.0,AKRA.JK
2005-12-20,296.0,300.0,294.0,296.0,160.081818,4265000.0,AKRA.JK
2005-12-21,294.0,294.0,292.0,294.0,159.000183,2380000.0,AKRA.JK
2005-12-22,294.0,296.0,292.0,294.0,159.000183,5392500.0,AKRA.JK
2005-12-23,294.0,296.0,294.0,294.0,159.000183,4515000.0,AKRA.JK
2005-12-26,,,,,,,AKRA.JK
2005-12-27,302.0,302.0,296.0,302.0,163.326706,5787500.0,AKRA.JK
2005-12-28,300.0,302.0,298.0,300.0,162.245071,5812500.0,AKRA.JK
2005-12-29,296.0,300.0,282.0,296.0,160.081818,10520000.0,AKRA.JK
2005-12-30,,,,,,,AKRA.JK
2006-01-02,296.0,296.0,292.0,296.0,160.081818,812500.0,AKRA.JK
2006-01-03,300.0,300.0,292.0,300.0,162.245071,5727500.0,AKRA.JK
2006-01-04,306.0,306.0,300.0,306.0,165.490021,6827500.0,AKRA.JK
2006-01-05,306.0,306.0,300.0,306.0,165.490021,4380000.0,AKRA.JK
2006-01-06,304.0,304.0,296.0,304.0,164.408325,1005000.0,AKRA.JK
2006-01-09,310.0,310.0,300.0,310.0,167.653259,8515000.0,AKRA.JK
2006-01-10,,,,,,,AKRA.JK
2006-01-11,308.0,310.0,300.0,308.0,166.571594,4105000.0,AKRA.JK
2006-01-12,304.0,308.0,300.0,304.0,164.408325,3320000.0,AKRA.JK
2006-01-13,308.0,308.0,302.0,308.0,166.571594,6000000.0,AKRA.JK
2006-01-16,308.0,308.0,306.0,308.0,166.571594,5250000.0,AKRA.JK
2006-01-17,306.0,308.0,304.0,306.0,165.490021,1152500.0,AKRA.JK
2006-01-18,306.0,306.0,302.0,306.0,165.490021,3647500.0,AKRA.JK
2006-01-19,306.0,306.0,304.0,306.0,165.490021,3705000.0,AKRA.JK
2006-01-20,306.0,306.0,304.0,306.0,165.490021,3380000.0,AKRA.JK
2006-01-23,308.0,308.0,306.0,308.0,166.571594,5867500.0,AKRA.JK
2006-01-24,310.0,310.0,306.0,310.0,167.653259,5782500.0,AKRA.JK
2006-01-25,312.0,312.0,306.0,312.0,168.734863,10372500.0,AKRA.JK
2006-01-26,308.0,312.0,306.0,308.0,166.571594,5825000.0,AKRA.JK
2006-01-27,306.0,308.0,300.0,306.0,165.490021,970000.0,AKRA.JK
2006-01-30,310.0,310.0,304.0,310.0,167.653259,6482500.0,AKRA.JK
2006-01-31,,,,,,,AKRA.JK
2006-02-01,306.0,310.0,300.0,306.0,165.490021,11755000.0,AKRA.JK
2006-02-02,308.0,308.0,306.0,308.0,166.571594,5650000.0,AKRA.JK
2006-02-03,308.0,308.0,306.0,308.0,166.571594,3355000.0,AKRA.JK
2006-02-06,308.0,308.0,308.0,308.0,166.571594,4190000.0,AKRA.JK
2006-02-07,308.0,308.0,306.0,308.0,166.571594,1425000.0,AKRA.JK
2006-02-08,306.0,308.0,304.0,306.0,165.490021,3225000.0,AKRA.JK
2006-02-09,306.0,306.0,300.0,306.0,165.490021,7815000.0,AKRA.JK
2006-02-10,304.0,304.0,300.0,304.0,164.408325,3392500.0,AKRA.JK
2006-02-13,306.0,306.0,302.0,306.0,165.490021,7760000.0,AKRA.JK
2006-02-14,306.0,306.0,304.0,306.0,165.490021,5200000.0,AKRA.JK
2006-02-15,306.0,306.0,306.0,306.0,165.490021,77500.0,AKRA.JK
2006-02-16,300.0,300.0,300.0,300.0,162.245071,620000.0,AKRA.JK
2006-02-17,300.0,300.0,300.0,300.0,162.245071,30000.0,AKRA.JK
2006-02-20,300.0,300.0,296.0,300.0,162.245071,2227500.0,AKRA.JK
2006-02-21,300.0,300.0,300.0,300.0,162.245071,2035000.0,AKRA.JK
2006-02-22,300.0,300.0,300.0,300.0,162.245071,10000.0,AKRA.JK
2006-02-23,300.0,300.0,300.0,300.0,162.245071,6822500.0,AKRA.JK
2006-02-24,300.0,300.0,300.0,300.0,162.245071,6627500.0,AKRA.JK
2006-02-27,300.0,300.0,300.0,300.0,162.245071,187500.0,AKRA.JK
2006-02-28,300.0,300.0,300.0,300.0,162.245071,10000.0,AKRA.JK
2006-03-01,300.0,300.0,298.0,300.0,162.245071,4890000.0,AKRA.JK
2006-03-02,300.0,300.0,300.0,300.0,162.245071,3580000.0,AKRA.JK
2006-03-03,300.0,300.0,300.0,300.0,162.245071,6232500.0,AKRA.JK
2006-03-06,300.0,300.0,298.0,300.0,162.245071,4890000.0,AKRA.JK
2006-03-07,298.0,298.0,298.0,298.0,161.163452,4530000.0,AKRA.JK
2006-03-08,296.0,298.0,296.0,296.0,160.081818,4655000.0,AKRA.JK
2006-03-09,296.0,296.0,296.0,296.0,160.081818,6450000.0,AKRA.JK
2006-03-10,296.0,296.0,292.0,296.0,160.081818,4445000.0,AKRA.JK
2006-03-13,296.0,296.0,292.0,296.0,160.081818,2907500.0,AKRA.JK
2006-03-14,296.0,296.0,292.0,292.0,157.918533,3412500.0,AKRA.JK
2006-03-15,292.0,292.0,292.0,292.0,157.918533,20000.0,AKRA.JK
2006-03-16,296.0,296.0,288.0,296.0,160.081818,7420000.0,AKRA.JK
2006-03-17,292.0,296.0,286.0,292.0,157.918533,13772500.0,AKRA.JK
2006-03-20,300.0,300.0,288.0,300.0,162.245071,31777500.0,AKRA.JK
2006-03-21,300.0,304.0,300.0,304.0,164.408325,11565000.0,AKRA.JK
2006-03-22,306.0,306.0,300.0,306.0,165.490021,7965000.0,AKRA.JK
