Date,Open,High,Low,Close,Adj Close,Volume,stock
2005-09-29,870.0,870.0,840.0,870.0,839.496338,80730500.0,BUMI.JK
2005-09-30,900.0,900.0,870.0,900.0,868.444458,168188500.0,BUMI.JK
2005-10-03,890.0,900.0,860.0,890.0,858.795044,50362500.0,BUMI.JK
2005-10-04,880.0,890.0,870.0,880.0,849.145691,157814000.0,BUMI.JK
2005-10-05,890.0,890.0,860.0,890.0,858.795044,81749000.0,BUMI.JK
2005-10-06,,,,,,,BUMI.JK
2005-10-07,860.0,870.0,850.0,860.0,829.846924,21277000.0,BUMI.JK
2005-10-10,850.0,860.0,830.0,850.0,820.19751,20484500.0,BUMI.JK
2005-10-11,860.0,860.0,840.0,860.0,829.846924,77810000.0,BUMI.JK
2005-10-12,840.0,860.0,830.0,840.0,810.548157,33779500.0,BUMI.JK
2005-10-13,840.0,840.0,830.0,840.0,810.548157,7070000.0,BUMI.JK
2005-10-14,820.0,830.0,810.0,820.0,791.24939,67212000.0,BUMI.JK
2005-10-17,,,,,,,BUMI.JK
2005-10-18,820.0,820.0,810.0,820.0,791.24939,45405500.0,BUMI.JK
2005-10-19,790.0,810.0,780.0,790.0,762.30127,66534000.0,BUMI.JK
2005-10-20,,,,,,,BUMI.JK
2005-10-21,,,,,,,BUMI.JK
2005-10-24,,,,,,,BUMI.JK
2005-10-25,,,,,,,BUMI.JK
2005-10-26,,,,,,,BUMI.JK
2005-10-27,,,,,,,BUMI.JK
2005-10-28,,,,,,,BUMI.JK
2005-10-31,,,,,,,BUMI.JK
2005-11-01,800.0,800.0,780.0,800.0,771.950623,31142500.0,BUMI.JK
2005-11-07,,,,,,,BUMI.JK
2005-11-08,,,,,,,BUMI.JK
2005-11-09,,,,,,,BUMI.JK
2005-11-10,790.0,790.0,770.0,790.0,762.30127,24368500.0,BUMI.JK
2005-11-11,770.0,790.0,770.0,770.0,743.002502,34978500.0,BUMI.JK
2005-11-14,750.0,770.0,740.0,750.0,723.703674,73829000.0,BUMI.JK
2005-11-15,740.0,750.0,740.0,740.0,714.054321,16475000.0,BUMI.JK
2005-11-16,,,,,,,BUMI.JK
2005-11-17,,,,,,,BUMI.JK
2005-11-18,,,,,,,BUMI.JK
2005-11-21,760.0,760.0,740.0,760.0,733.353088,35412000.0,BUMI.JK
2005-11-22,750.0,760.0,740.0,750.0,723.703674,18839000.0,BUMI.JK
2005-11-23,740.0,750.0,720.0,740.0,714.054321,110461000.0,BUMI.JK
2005-11-24,,,,,,,BUMI.JK
2005-11-25,720.0,730.0,720.0,720.0,694.755615,6943000.0,BUMI.JK
2005-11-28,730.0,740.0,720.0,730.0,704.404968,42421500.0,BUMI.JK
2005-11-29,710.0,730.0,700.0,710.0,685.10614,78271500.0,BUMI.JK
2005-11-30,690.0,710.0,670.0,690.0,665.807434,87718500.0,BUMI.JK
2005-12-01,,,,,,,BUMI.JK
2005-12-02,710.0,710.0,690.0,710.0,685.10614,44348500.0,BUMI.JK
2005-12-05,,,,,,,BUMI.JK
2005-12-06,700.0,710.0,690.0,700.0,675.456787,31885000.0,BUMI.JK
2005-12-07,,,,,,,BUMI.JK
2005-12-08,760.0,760.0,740.0,760.0,733.353088,118806500.0,BUMI.JK
2005-12-09,780.0,780.0,750.0,780.0,752.651855,86992000.0,BUMI.JK
2005-12-12,770.0,800.0,760.0,770.0,743.002502,99696500.0,BUMI.JK
2005-12-13,,,,,,,BUMI.JK
2005-12-14,,,,,,,BUMI.JK
2005-12-15,760.0,770.0,760.0,760.0,733.353088,45954000.0,BUMI.JK
2005-12-16,,,,,,,BUMI.JK
2005-12-19,780.0,790.0,760.0,780.0,752.651855,78473000.0,BUMI.JK
2005-12-20,,,,,,,BUMI.JK
2005-12-21,780.0,790.0,770.0,780.0,752.651855,47644500.0,BUMI.JK
2005-12-22,,,,,,,BUMI.JK
2005-12-23,,,,,,,BUMI.JK
2005-12-26,,,,,,,BUMI.JK
2005-12-27,770.0,780.0,760.0,770.0,743.002502,23223000.0,BUMI.JK
2005-12-28,,,,,,,BUMI.JK
2005-12-29,,,,,,,BUMI.JK
2005-12-30,,,,,,,BUMI.JK
2006-01-02,,,,,,,BUMI.JK
2006-01-03,,,,,,,BUMI.JK
2006-01-04,,,,,,,BUMI.JK
2006-01-05,,,,,,,BUMI.JK
2006-01-06,,,,,,,BUMI.JK
2006-01-09,,,,,,,BUMI.JK
2006-01-10,,,,,,,BUMI.JK
2006-01-11,,,,,,,BUMI.JK
2006-01-12,,,,,,,BUMI.JK
2006-01-13,,,,,,,BUMI.JK
2006-01-16,,,,,,,BUMI.JK
2006-01-17,,,,,,,BUMI.JK
2006-01-18,,,,,,,BUMI.JK
2006-01-19,,,,,,,BUMI.JK
2006-01-20,,,,,,,BUMI.JK
2006-01-23,,,,,,,BUMI.JK
2006-01-24,,,,,,,BUMI.JK
2006-01-25,,,,,,,BUMI.JK
2006-01-26,,,,,,,BUMI.JK
2006-01-27,,,,,,,BUMI.JK
2006-01-30,850.0,850.0,830.0,850.0,820.19751,53963000.0,BUMI.JK
2006-01-31,,,,,,,BUMI.JK
2006-02-01,,,,,,,BUMI.JK
2006-02-02,,,,,,,BUMI.JK
2006-02-03,,,,,,,BUMI.JK
2006-02-06,840.0,850.0,820.0,840.0,810.548157,134570500.0,BUMI.JK
2006-02-07,,,,,,,BUMI.JK
2006-02-08,,,,,,,BUMI.JK
2006-02-09,,,,,,,BUMI.JK
2006-02-10,,,,,,,BUMI.JK
