Date,Open,High,Low,Close,Adj Close,Volume,stock
2017-08-14,3360.0,3470.0,3360.0,3400.0,3400.0,3784500,EXCL.JK
2017-08-15,3400.0,3490.0,3400.0,3490.0,3490.0,4273400,EXCL.JK
2017-08-16,3490.0,3490.0,3380.0,3460.0,3460.0,8238700,EXCL.JK
2017-08-17,3460.0,3460.0,3460.0,3460.0,3460.0,0,EXCL.JK
2017-08-18,3420.0,3450.0,3390.0,3440.0,3440.0,2147200,EXCL.JK
2017-08-21,3410.0,3460.0,3350.0,3380.0,3380.0,4380000,EXCL.JK
2017-08-22,3380.0,3450.0,3370.0,3420.0,3420.0,6646400,EXCL.JK
2017-08-23,3420.0,3610.0,3420.0,3590.0,3590.0,10501700,EXCL.JK
2017-08-24,3590.0,3590.0,3480.0,3510.0,3510.0,6234600,EXCL.JK
2017-08-25,3530.0,3660.0,3530.0,3660.0,3660.0,11059300,EXCL.JK
2017-08-28,3640.0,3650.0,3600.0,3630.0,3630.0,3516800,EXCL.JK
2017-08-29,3630.0,3630.0,3590.0,3630.0,3630.0,9512700,EXCL.JK
2017-08-30,3630.0,3800.0,3600.0,3640.0,3640.0,13017500,EXCL.JK
2017-08-31,3670.0,3710.0,3600.0,3600.0,3600.0,3746800,EXCL.JK
2017-09-01,3600.0,3600.0,3600.0,3600.0,3600.0,0,EXCL.JK
2017-09-04,3600.0,3710.0,3600.0,3700.0,3700.0,7033600,EXCL.JK
2017-09-05,3700.0,3750.0,3670.0,3730.0,3730.0,3397300,EXCL.JK
2017-09-06,3730.0,3860.0,3630.0,3850.0,3850.0,14150000,EXCL.JK
