Date,Open,High,Low,Close,Adj Close,Volume,stock
2017-08-14,1735.0,1735.0,1705.0,1725.0,1725.0,55186600,KLBF.JK
2017-08-15,1710.0,1730.0,1710.0,1720.0,1720.0,47549600,KLBF.JK
2017-08-16,1725.0,1765.0,1720.0,1755.0,1755.0,50437400,KLBF.JK
2017-08-17,1755.0,1755.0,1755.0,1755.0,1755.0,0,KLBF.JK
2017-08-18,1750.0,1795.0,1735.0,1750.0,1750.0,25075900,KLBF.JK
2017-08-21,1765.0,1770.0,1740.0,1760.0,1760.0,13944900,KLBF.JK
2017-08-22,1765.0,1780.0,1765.0,1775.0,1775.0,34107000,KLBF.JK
2017-08-23,1775.0,1775.0,1730.0,1755.0,1755.0,15351800,KLBF.JK
2017-08-24,1755.0,1755.0,1725.0,1725.0,1725.0,9145400,KLBF.JK
2017-08-25,1725.0,1730.0,1715.0,1725.0,1725.0,24406700,KLBF.JK
2017-08-28,1725.0,1725.0,1715.0,1720.0,1720.0,13636000,KLBF.JK
2017-08-29,1715.0,1745.0,1710.0,1745.0,1745.0,18314200,KLBF.JK
2017-08-30,1745.0,1745.0,1705.0,1715.0,1715.0,38289500,KLBF.JK
2017-08-31,1715.0,1715.0,1710.0,1710.0,1710.0,18655500,KLBF.JK
2017-09-01,1710.0,1710.0,1710.0,1710.0,1710.0,0,KLBF.JK
2017-09-04,1710.0,1715.0,1680.0,1695.0,1695.0,15050800,KLBF.JK
2017-09-05,1710.0,1715.0,1690.0,1715.0,1715.0,9165500,KLBF.JK
2017-09-06,1715.0,1720.0,1690.0,1695.0,1695.0,11635200,KLBF.JK
