Date,Open,High,Low,Close,Adj Close,Volume,stock
2017-08-14,10700.0,11000.0,10625.0,10975.0,10975.0,4135800,LPPF.JK
2017-08-15,11075.0,11475.0,11050.0,11250.0,11250.0,6450700,LPPF.JK
2017-08-16,11125.0,11175.0,10850.0,11025.0,11025.0,5790800,LPPF.JK
2017-08-17,11025.0,11025.0,11025.0,11025.0,11025.0,0,LPPF.JK
2017-08-18,10975.0,11150.0,10900.0,11000.0,11000.0,3692700,LPPF.JK
2017-08-21,11000.0,11025.0,10600.0,10600.0,10600.0,3308100,LPPF.JK
2017-08-22,10600.0,10775.0,10475.0,10550.0,10550.0,5138800,LPPF.JK
2017-08-23,10550.0,10775.0,10550.0,10775.0,10775.0,5799800,LPPF.JK
2017-08-24,10950.0,11025.0,10825.0,10900.0,10900.0,6433300,LPPF.JK
2017-08-25,10700.0,10850.0,10650.0,10700.0,10700.0,1567900,LPPF.JK
2017-08-28,10725.0,10800.0,10525.0,10600.0,10600.0,2751100,LPPF.JK
2017-08-29,10500.0,10600.0,10325.0,10375.0,10375.0,5007800,LPPF.JK
2017-08-30,10450.0,10475.0,10325.0,10400.0,10400.0,3037500,LPPF.JK
2017-08-31,10350.0,10400.0,10000.0,10000.0,10000.0,7189100,LPPF.JK
2017-09-01,10000.0,10000.0,10000.0,10000.0,10000.0,0,LPPF.JK
2017-09-04,10125.0,10175.0,10050.0,10150.0,10150.0,2871500,LPPF.JK
2017-09-05,10300.0,10300.0,9875.0,10225.0,10225.0,3016100,LPPF.JK
2017-09-06,10000.0,10225.0,10000.0,10100.0,10100.0,4270800,LPPF.JK
