Date,Open,High,Low,Close,Adj Close,Volume,stock
2002-04-22,79.0,79.0,76.0,76.0,40.532436,0.0,LSIP.JK
2002-04-23,79.0,81.0,79.0,81.0,43.199043,6022500.0,LSIP.JK
2002-04-24,83.0,85.0,83.0,84.0,44.799011,4500000.0,LSIP.JK
2002-04-25,86.0,87.0,85.0,86.0,45.86565,1762500.0,LSIP.JK
2002-04-26,84.0,84.0,79.0,81.0,43.199043,26515000.0,LSIP.JK
2002-04-29,79.0,79.0,77.0,77.0,41.065762,2400000.0,LSIP.JK
2002-04-30,78.0,81.0,78.0,78.0,41.599075,6500000.0,LSIP.JK
2002-05-01,78.0,78.0,77.0,77.0,41.065762,1207500.0,LSIP.JK
2002-05-02,77.0,77.0,77.0,77.0,41.065762,750000.0,LSIP.JK
2002-05-03,78.0,79.0,77.0,77.0,41.065762,4452500.0,LSIP.JK
2002-05-06,77.0,78.0,76.0,77.0,41.065762,1740000.0,LSIP.JK
2002-05-07,77.0,78.0,76.0,76.0,40.532436,1675000.0,LSIP.JK
2002-05-08,76.0,80.0,76.0,78.0,41.599075,12622500.0,LSIP.JK
2002-05-09,,,,,,,LSIP.JK
2002-05-10,78.0,79.0,77.0,77.0,41.065762,1532500.0,LSIP.JK
2002-05-13,77.0,77.0,76.0,76.0,40.532436,950000.0,LSIP.JK
2002-05-14,76.0,76.0,75.0,75.0,39.999123,1090000.0,LSIP.JK
2002-05-15,75.0,76.0,75.0,76.0,40.532436,305000.0,LSIP.JK
2002-05-16,75.0,75.0,74.0,75.0,39.999123,410000.0,LSIP.JK
2002-05-17,75.0,75.0,75.0,75.0,39.999123,525000.0,LSIP.JK
2002-05-20,75.0,75.0,73.0,73.0,38.932468,590000.0,LSIP.JK
2002-05-21,73.0,74.0,73.0,73.0,38.932468,172500.0,LSIP.JK
2002-05-22,73.0,74.0,70.0,70.0,37.332508,1562500.0,LSIP.JK
2002-05-23,68.0,69.0,66.0,68.0,36.265869,740000.0,LSIP.JK
2002-05-24,69.0,70.0,69.0,70.0,37.332508,977500.0,LSIP.JK
2002-05-27,71.0,71.0,70.0,70.0,37.332508,375000.0,LSIP.JK
2002-05-28,70.0,70.0,70.0,70.0,37.332508,537500.0,LSIP.JK
2002-05-29,70.0,70.0,70.0,70.0,37.332508,22500.0,LSIP.JK
2002-05-30,74.0,74.0,71.0,71.0,37.865829,250000.0,LSIP.JK
2002-05-31,73.0,76.0,73.0,73.0,38.932468,10885000.0,LSIP.JK
2002-06-03,75.0,75.0,74.0,74.0,39.465794,2270000.0,LSIP.JK
2002-06-04,72.0,72.0,69.0,69.0,36.799191,5637500.0,LSIP.JK
2002-06-05,69.0,70.0,66.0,67.0,35.732544,8027500.0,LSIP.JK
2002-06-06,67.0,67.0,64.0,64.0,34.13258,5877500.0,LSIP.JK
2002-06-07,64.0,64.0,63.0,64.0,34.13258,6437500.0,LSIP.JK
2002-06-10,64.0,64.0,61.0,62.0,33.065933,7060000.0,LSIP.JK
2002-06-11,62.0,62.0,62.0,62.0,33.065933,125000.0,LSIP.JK
2002-06-12,63.0,66.0,63.0,66.0,35.199226,58147500.0,LSIP.JK
2002-06-13,67.0,75.0,67.0,75.0,39.999123,25687500.0,LSIP.JK
2002-06-14,75.0,79.0,72.0,75.0,39.999123,96202500.0,LSIP.JK
2002-06-17,75.0,76.0,73.0,73.0,38.932468,5655000.0,LSIP.JK
2002-06-18,73.0,73.0,70.0,70.0,37.332508,7907500.0,LSIP.JK
2002-06-19,70.0,70.0,69.0,69.0,36.799191,1130000.0,LSIP.JK
2002-06-20,72.0,72.0,71.0,71.0,37.865829,1755000.0,LSIP.JK
2002-06-21,71.0,71.0,70.0,70.0,37.332508,775000.0,LSIP.JK
2002-06-24,68.0,68.0,68.0,68.0,36.265869,160000.0,LSIP.JK
2002-06-25,68.0,68.0,68.0,68.0,36.265869,905000.0,LSIP.JK
2002-06-26,67.0,67.0,66.0,66.0,35.199226,1055000.0,LSIP.JK
2002-06-27,69.0,71.0,68.0,69.0,36.799191,4860000.0,LSIP.JK
2002-06-28,69.0,69.0,67.0,68.0,36.265869,1632500.0,LSIP.JK
2002-07-01,66.0,66.0,65.0,65.0,34.665897,650000.0,LSIP.JK
2002-07-02,62.0,63.0,60.0,63.0,33.599258,26825000.0,LSIP.JK
2002-07-03,62.0,65.0,62.0,65.0,34.665897,13415000.0,LSIP.JK
2002-07-04,65.0,66.0,65.0,65.0,34.665897,9422500.0,LSIP.JK
2002-07-05,66.0,67.0,66.0,67.0,35.732544,7310000.0,LSIP.JK
2002-07-08,67.0,68.0,65.0,66.0,35.199226,5315000.0,LSIP.JK
2002-07-09,66.0,68.0,66.0,67.0,35.732544,6277500.0,LSIP.JK
2002-07-10,66.0,70.0,66.0,70.0,37.332508,5620000.0,LSIP.JK
2002-07-11,69.0,71.0,69.0,70.0,37.332508,11627500.0,LSIP.JK
2002-07-12,71.0,73.0,71.0,72.0,38.399151,6710000.0,LSIP.JK
