Date,Open,High,Low,Close,Adj Close,Volume,stock
2009-06-12,7.0,7.0,7.0,7.0,0.21356,2000,MYRX
2009-06-15,7.0,7.49,5.6,6.05,0.184577,321000,MYRX
2009-06-16,5.75,6.05,3.63,4.1,0.125085,592100,MYRX
2009-06-17,4.26,4.26,3.76,4.12,0.125695,1403100,MYRX
2009-06-18,4.2,4.87,4.15,4.75,0.144915,659100,MYRX
2009-06-19,5.3,5.47,4.9,5.03,0.153458,638800,MYRX
2009-06-22,5.05,5.11,4.9,5.04,0.153763,316800,MYRX
2009-06-23,5.1,5.36,4.89,4.97,0.151627,637100,MYRX
2009-06-24,4.9,5.0,4.61,4.79,0.146136,225400,MYRX
2009-06-25,5.36,5.36,4.55,4.63,0.141254,265600,MYRX
2009-06-26,4.69,4.7,4.45,4.57,0.139424,489800,MYRX
2009-06-29,4.65,5.12,4.65,4.73,0.144305,497200,MYRX
2009-06-30,4.7,4.9,4.5,4.65,0.141865,549000,MYRX
2009-07-01,4.25,4.4,3.87,4.03,0.122949,4167800,MYRX
2009-07-02,3.9,4.32,3.81,4.16,0.126915,1867000,MYRX
2009-07-06,4.05,5.09,4.05,4.55,0.138814,1167600,MYRX
2009-07-07,4.6,4.75,4.36,4.52,0.137899,620100,MYRX
2009-07-08,4.72,4.72,4.4,4.45,0.135763,575300,MYRX
2009-07-09,4.5,4.65,4.16,4.28,0.130576,419600,MYRX
2009-07-10,4.2,4.4,4.0,4.21,0.128441,512700,MYRX
2009-07-13,4.22,4.25,4.05,4.17,0.127221,202900,MYRX
2009-07-14,4.15,4.21,4.01,4.19,0.127831,544000,MYRX
2009-07-15,4.2,4.36,4.07,4.34,0.132407,762000,MYRX
2009-07-16,4.5,4.6,4.35,4.55,0.138814,755400,MYRX
2009-07-17,4.59,4.6,4.35,4.48,0.136678,305900,MYRX
2009-07-20,4.55,4.6,4.42,4.48,0.136678,201900,MYRX
2009-07-21,4.52,4.69,4.41,4.48,0.136678,272500,MYRX
2009-07-22,4.5,4.62,4.41,4.5,0.137288,225600,MYRX
2009-07-23,4.55,4.75,4.5,4.75,0.144915,305000,MYRX
2009-07-24,4.73,4.91,4.7,4.81,0.146746,346700,MYRX
2009-07-27,4.79,4.9,4.7,4.8,0.146441,235400,MYRX
2009-07-28,4.79,4.9,4.72,4.83,0.147356,239800,MYRX
2009-07-29,4.74,5.0,4.65,4.96,0.151322,153100,MYRX
2009-07-30,4.97,5.0,4.75,4.89,0.149187,121900,MYRX
2009-07-31,4.84,4.98,4.8,4.87,0.148576,218800,MYRX
2009-08-03,4.87,4.96,4.73,4.83,0.147356,119100,MYRX
2009-08-04,4.71,4.87,4.71,4.87,0.148576,68900,MYRX
2009-08-05,4.9,5.03,4.8,4.81,0.146746,169900,MYRX
2009-08-06,4.78,4.8,4.65,4.65,0.141865,83200,MYRX
2009-08-07,4.65,4.76,4.55,4.69,0.143085,169000,MYRX
2009-08-10,4.62,4.96,4.54,4.9,0.149492,144600,MYRX
2009-08-11,4.89,4.97,4.8,4.86,0.148271,186400,MYRX
2009-08-12,4.85,5.05,4.71,4.72,0.144,230600,MYRX
2009-08-13,4.78,5.0,4.76,4.89,0.149187,237000,MYRX
2009-08-14,4.92,4.92,4.77,4.84,0.147661,154300,MYRX
2009-08-17,4.8,4.89,4.75,4.86,0.148271,162800,MYRX
2009-08-18,4.91,4.92,4.83,4.89,0.149187,92800,MYRX
2009-08-19,4.81,4.96,4.8,4.88,0.148882,46700,MYRX
2009-08-20,4.92,4.94,4.86,4.89,0.149187,216200,MYRX
2009-08-21,4.94,4.94,4.75,4.91,0.149797,155900,MYRX
2009-08-24,4.93,4.93,4.5,4.6,0.140339,340700,MYRX
2009-08-25,4.6,4.71,4.6,4.64,0.14156,101800,MYRX
2009-08-26,4.61,4.75,4.6,4.71,0.143695,147900,MYRX
2009-08-27,4.75,4.75,4.52,4.6,0.140339,236000,MYRX
2009-08-28,4.5,4.73,4.5,4.58,0.139729,341500,MYRX
2009-08-31,4.55,4.65,4.45,4.5,0.137288,262800,MYRX
2009-09-01,4.5,4.57,4.4,4.41,0.134543,354700,MYRX
2009-09-02,4.4,4.42,4.31,4.36,0.133017,127300,MYRX
2009-09-03,4.42,4.44,4.3,4.41,0.134543,125900,MYRX
2009-09-04,4.48,4.48,4.35,4.42,0.134848,149000,MYRX
2009-09-08,4.5,4.56,4.23,4.47,0.136373,545700,MYRX
2009-09-09,4.52,4.73,4.5,4.63,0.141254,243500,MYRX
2009-09-10,4.65,4.7,4.57,4.63,0.141254,290500,MYRX
2009-09-11,4.65,5.13,4.6,4.84,0.147661,1439100,MYRX
2009-09-14,4.84,6.41,4.75,5.54,0.169017,5143100,MYRX
2009-09-15,5.45,5.64,5.11,5.6,0.170848,1253100,MYRX
2009-09-16,5.66,6.32,5.61,6.18,0.188543,1951900,MYRX
2009-09-17,6.25,6.39,6.07,6.18,0.188543,979600,MYRX
2009-09-18,6.2,6.73,6.11,6.58,0.200746,1002000,MYRX
2009-09-21,6.57,6.72,6.26,6.42,0.195865,458500,MYRX
2009-09-22,6.5,6.8,6.5,6.77,0.206543,541800,MYRX
2009-09-23,6.74,6.78,6.47,6.49,0.198,608500,MYRX
2009-09-24,6.56,6.56,5.65,5.86,0.17878,689800,MYRX
2009-09-25,5.88,6.12,5.8,5.83,0.177865,446500,MYRX
2009-09-28,5.82,6.23,5.82,5.93,0.180916,337700,MYRX
2009-09-29,5.95,6.14,5.95,5.97,0.182136,180100,MYRX
2009-09-30,5.98,6.06,5.86,5.86,0.17878,213400,MYRX
2009-10-01,5.85,5.99,5.58,5.58,0.170238,195300,MYRX
2009-10-02,5.51,5.65,5.4,5.6,0.170848,273000,MYRX
2009-10-05,5.62,5.8,5.62,5.7,0.173899,184700,MYRX
2009-10-06,5.72,5.95,5.63,5.69,0.173593,185400,MYRX
2009-10-07,5.72,5.82,5.56,5.64,0.172068,136000,MYRX
2009-10-08,5.73,5.86,5.69,5.73,0.174814,127100,MYRX
2009-10-09,5.8,5.86,5.68,5.76,0.175729,100500,MYRX
2009-10-12,5.76,5.84,5.7,5.78,0.176339,50700,MYRX
2009-10-13,5.81,5.92,5.78,5.92,0.18061,197400,MYRX
2009-10-14,6.32,6.5,6.15,6.4,0.195255,713600,MYRX
2009-10-15,6.39,6.39,6.2,6.3,0.192204,492100,MYRX
2009-10-16,6.28,6.38,6.2,6.27,0.191288,172100,MYRX
2009-10-19,6.28,6.36,6.26,6.29,0.191899,178900,MYRX
2009-10-20,6.49,6.68,6.31,6.31,0.192509,684900,MYRX
2009-10-21,6.35,6.44,6.2,6.21,0.189458,193400,MYRX
2009-10-22,6.2,6.43,6.08,6.36,0.194034,145700,MYRX
2009-10-23,6.41,6.81,6.23,6.29,0.191899,564600,MYRX
2009-10-26,6.28,6.46,6.18,6.36,0.194034,247200,MYRX
2009-10-27,6.35,6.42,6.22,6.22,0.189763,75000,MYRX
2009-10-28,6.18,6.18,5.7,5.7,0.173899,301200,MYRX
2009-10-29,5.78,5.78,5.62,5.66,0.172678,186900,MYRX
2009-10-30,5.67,5.7,5.4,5.52,0.168407,266500,MYRX
2009-11-02,5.51,5.77,5.28,5.59,0.170543,195400,MYRX
2009-11-03,5.58,5.64,5.4,5.61,0.171153,180200,MYRX
2009-11-04,5.6,5.63,5.34,5.34,0.162915,210100,MYRX
2009-11-05,5.37,5.65,5.3,5.61,0.171153,215000,MYRX
2009-11-06,5.59,5.59,5.32,5.47,0.166882,150200,MYRX
2009-11-09,5.5,5.61,5.43,5.51,0.168102,121400,MYRX
2009-11-10,5.49,5.6,5.27,5.35,0.163221,233200,MYRX
2009-11-11,5.37,5.5,5.17,5.22,0.159254,151000,MYRX
2009-11-12,5.19,5.4,5.07,5.28,0.161085,189900,MYRX
2009-11-13,5.44,6.07,5.38,5.81,0.177254,426500,MYRX
2009-11-16,6.2,6.22,5.89,6.02,0.183661,350000,MYRX
2009-11-17,6.04,6.09,5.93,5.98,0.182441,125300,MYRX
2009-11-18,6.0,6.0,5.12,5.21,0.158949,561800,MYRX
2009-11-19,5.29,5.42,5.16,5.3,0.161695,270100,MYRX
2009-11-20,5.3,5.41,5.27,5.33,0.16261,140100,MYRX
2009-11-23,5.42,5.45,5.34,5.35,0.163221,99100,MYRX
2009-11-24,5.39,5.39,5.2,5.3,0.161695,94600,MYRX
2009-11-25,5.31,5.33,5.16,5.17,0.157729,70300,MYRX
2009-11-27,5.09,5.14,5.02,5.02,0.153153,147500,MYRX
2009-11-30,5.0,5.08,4.94,5.01,0.152848,202700,MYRX
2009-12-01,5.0,5.2,4.96,5.12,0.156204,198300,MYRX
2009-12-02,5.14,5.26,5.01,5.15,0.157119,177600,MYRX
2009-12-03,5.18,5.38,5.14,5.3,0.161695,214800,MYRX
2009-12-04,5.36,5.62,5.28,5.6,0.170848,295500,MYRX
2009-12-07,5.53,5.69,5.5,5.63,0.171763,212000,MYRX
2009-12-08,5.57,5.69,5.31,5.63,0.171763,201500,MYRX
2009-12-09,5.63,5.69,5.52,5.59,0.170543,187600,MYRX
2009-12-10,5.63,5.7,5.5,5.54,0.169017,197200,MYRX
2009-12-11,5.55,5.65,5.42,5.46,0.166577,105300,MYRX
2009-12-14,5.5,5.5,5.35,5.45,0.166271,66900,MYRX
2009-12-15,5.41,5.47,5.35,5.36,0.163526,55600,MYRX
2009-12-16,5.43,5.59,5.43,5.44,0.165966,78500,MYRX
2009-12-17,5.42,5.52,5.32,5.33,0.16261,73100,MYRX
2009-12-18,5.02,5.12,4.75,5.03,0.153458,2953900,MYRX
2009-12-21,5.02,5.03,4.85,4.98,0.151932,580000,MYRX
2009-12-22,4.98,5.04,4.86,5.03,0.153458,453400,MYRX
2009-12-23,5.08,5.12,4.95,5.06,0.154373,258400,MYRX
2009-12-24,5.13,5.15,4.93,4.98,0.151932,122400,MYRX
2009-12-28,5.01,5.23,5.0,5.22,0.159254,236800,MYRX
2009-12-29,5.26,5.29,5.05,5.22,0.159254,171400,MYRX
2009-12-30,5.15,5.29,5.04,5.12,0.156204,272600,MYRX
2009-12-31,5.13,5.2,5.0,5.03,0.153458,135400,MYRX
2010-01-04,5.12,5.42,5.11,5.41,0.165051,325500,MYRX
2010-01-05,5.36,5.43,5.16,5.18,0.158034,470800,MYRX
2010-01-06,5.19,5.25,5.15,5.18,0.158034,533700,MYRX
2010-01-07,5.2,5.29,5.12,5.14,0.156814,143800,MYRX
2010-01-08,5.11,5.21,5.08,5.13,0.156509,110100,MYRX
2010-01-11,5.14,5.16,5.05,5.06,0.154373,185100,MYRX
