Date,Open,High,Low,Close,Adj Close,Volume,stock
2014-08-01,0.01,1.0,0.01,0.444,0.444,29700,PGAS
2014-08-04,0.44,0.6,0.21,0.44,0.44,44200,PGAS
2014-08-05,0.44,0.75,0.44,0.6,0.6,34400,PGAS
2014-08-06,0.54,0.7,0.5,0.54,0.54,56300,PGAS
2014-08-07,0.54,0.54,0.33,0.39,0.39,26300,PGAS
2014-08-08,0.39,0.59,0.39,0.41,0.41,15500,PGAS
2014-08-11,0.41,0.41,0.41,0.41,0.41,5700,PGAS
2014-08-12,0.41,0.49,0.32,0.32,0.32,57300,PGAS
2014-08-13,0.35,0.35,0.18,0.2,0.2,241900,PGAS
2014-08-14,0.15,0.2,0.15,0.2,0.2,159000,PGAS
2014-08-15,0.25,0.25,0.13,0.13,0.13,67700,PGAS
2014-08-18,0.15,0.2,0.1,0.14,0.14,152600,PGAS
2014-08-19,0.1,0.198,0.1,0.18,0.18,130600,PGAS
2014-08-20,0.1,0.15,0.1,0.13,0.13,39900,PGAS
2014-08-21,0.112,0.13,0.112,0.113,0.113,46700,PGAS
2014-08-22,0.11,0.18,0.11,0.17,0.17,75000,PGAS
2014-08-25,0.17,0.243,0.141,0.23,0.23,65200,PGAS
2014-08-26,0.15,0.24,0.15,0.23,0.23,79000,PGAS
2014-08-27,0.23,0.23,0.18,0.18,0.18,147900,PGAS
2014-08-28,0.235,0.235,0.18,0.2,0.2,30700,PGAS
2014-08-29,0.2,0.2,0.167,0.189,0.189,59800,PGAS
2014-09-02,0.18,0.2,0.177,0.177,0.177,115200,PGAS
2014-09-03,0.177,0.185,0.176,0.179,0.179,141500,PGAS
2014-09-04,0.17,0.175,0.167,0.167,0.167,58900,PGAS
2014-09-05,0.17,0.175,0.165,0.175,0.175,109700,PGAS
2014-09-08,0.168,0.18,0.168,0.173,0.173,129500,PGAS
2014-09-09,0.173,0.173,0.167,0.167,0.167,22600,PGAS
2014-09-10,0.173,0.173,0.14,0.143,0.143,87500,PGAS
2014-09-11,0.141,0.146,0.141,0.146,0.146,25000,PGAS
2014-09-12,0.15,0.15,0.144,0.144,0.144,23500,PGAS
2014-09-15,0.144,0.144,0.14,0.14,0.14,28600,PGAS
2014-09-16,0.11,0.145,0.11,0.13,0.13,76000,PGAS
2014-09-17,0.129,0.135,0.125,0.131,0.131,100500,PGAS
2014-09-18,0.129,0.13,0.125,0.13,0.13,104400,PGAS
2014-09-19,0.13,0.133,0.115,0.133,0.133,71500,PGAS
2014-09-22,0.116,0.138,0.116,0.138,0.138,140300,PGAS
2014-09-23,0.135,0.135,0.12,0.12,0.12,6400,PGAS
2014-09-24,0.12,0.135,0.12,0.121,0.121,36100,PGAS
