Date,Open,High,Low,Close,Adj Close,Volume,stock
2002-08-13,26.25,26.25,26.25,26.25,13.647389,100000.0,SMRA.JK
2002-08-14,25.0,26.25,25.0,25.0,12.997514,192000.0,SMRA.JK
2002-08-15,25.0,26.25,25.0,26.25,13.647389,46000.0,SMRA.JK
2002-08-16,25.0,25.0,25.0,25.0,12.997514,150000.0,SMRA.JK
2002-08-19,25.0,25.0,20.0,20.0,10.398011,0.0,SMRA.JK
2002-08-20,25.0,27.5,25.0,26.25,13.647389,464000.0,SMRA.JK
2002-08-21,25.0,25.0,25.0,25.0,12.997514,100000.0,SMRA.JK
2002-08-22,26.25,26.25,18.75,18.75,9.748136,0.0,SMRA.JK
2002-08-23,,,,,,,SMRA.JK
2002-08-26,25.0,25.0,23.75,23.75,12.347639,352000.0,SMRA.JK
2002-08-27,23.75,23.75,23.75,23.75,12.347639,440000.0,SMRA.JK
2002-08-28,25.0,25.0,18.75,18.75,9.748136,0.0,SMRA.JK
2002-08-29,23.75,23.75,20.0,20.0,10.398011,0.0,SMRA.JK
2002-08-30,26.25,26.25,20.0,20.0,10.398011,0.0,SMRA.JK
2002-09-02,25.0,25.0,20.0,20.0,10.398011,0.0,SMRA.JK
2002-09-03,21.25,22.5,21.25,22.5,11.697763,170000.0,SMRA.JK
2002-09-04,20.0,22.5,20.0,22.5,11.697763,118000.0,SMRA.JK
2002-09-05,21.25,22.5,21.25,22.5,11.697763,1008000.0,SMRA.JK
2002-09-06,22.5,22.5,21.25,21.25,11.047888,0.0,SMRA.JK
2002-09-09,22.5,22.5,21.25,21.25,11.047888,0.0,SMRA.JK
2002-09-10,22.5,22.5,21.25,21.25,11.047888,0.0,SMRA.JK
2002-09-11,21.25,21.25,21.25,21.25,11.047888,20000.0,SMRA.JK
2002-09-12,21.25,22.5,20.0,22.5,11.697763,1400000.0,SMRA.JK
2002-09-13,22.5,22.5,22.5,22.5,11.697763,576000.0,SMRA.JK
2002-09-16,21.25,21.25,21.25,21.25,11.047888,96000.0,SMRA.JK
2002-09-17,21.25,21.25,21.25,21.25,11.047888,840000.0,SMRA.JK
2002-09-18,21.25,21.25,21.25,21.25,11.047888,40000.0,SMRA.JK
2002-09-19,20.0,20.0,20.0,20.0,10.398011,40000.0,SMRA.JK
2002-09-20,20.0,20.0,20.0,20.0,10.398011,80000.0,SMRA.JK
2002-09-23,20.0,20.0,20.0,20.0,10.398011,180000.0,SMRA.JK
2002-09-24,21.25,21.25,17.5,17.5,9.098261,0.0,SMRA.JK
2002-09-25,20.0,20.0,17.5,17.5,9.098261,0.0,SMRA.JK
2002-09-26,20.0,20.0,20.0,20.0,10.398011,400000.0,SMRA.JK
2002-09-27,20.0,20.0,20.0,20.0,10.398011,40000.0,SMRA.JK
2002-09-30,20.0,20.0,20.0,20.0,10.398011,140000.0,SMRA.JK
2002-10-01,20.0,20.0,18.75,18.75,9.748136,0.0,SMRA.JK
2002-10-02,20.0,20.0,20.0,20.0,10.398011,424000.0,SMRA.JK
2002-10-03,21.25,21.25,18.75,18.75,9.748136,0.0,SMRA.JK
2002-10-04,,,,,,,SMRA.JK
2002-10-07,20.0,20.0,15.0,15.0,7.798507,0.0,SMRA.JK
2002-10-08,18.75,18.75,17.5,17.5,9.098261,956000.0,SMRA.JK
2002-10-09,21.25,21.25,17.5,17.5,9.098261,0.0,SMRA.JK
2002-10-10,20.0,20.0,20.0,20.0,10.398011,42000.0,SMRA.JK
2002-10-11,20.0,20.0,16.25,16.25,8.448384,0.0,SMRA.JK
2002-10-14,20.0,20.0,12.5,12.5,6.498757,0.0,SMRA.JK
2002-10-15,18.75,18.75,12.5,12.5,6.498757,0.0,SMRA.JK
2002-10-16,17.5,17.5,17.5,17.5,9.098261,40000.0,SMRA.JK
2002-10-17,20.0,20.0,15.0,15.0,7.798507,0.0,SMRA.JK
2002-10-18,17.5,17.5,17.5,17.5,9.098261,100000.0,SMRA.JK
