Date,Open,High,Low,Close,Adj Close,Volume,stock
2004-09-28,835.0,835.0,825.0,825.0,129.947891,90095000.0,TLKM.JK
2004-09-29,825.0,825.0,810.0,825.0,129.947891,29370000.0,TLKM.JK
2004-09-30,825.0,830.0,825.0,830.0,130.735474,42927500.0,TLKM.JK
2004-10-01,830.0,845.0,825.0,840.0,132.310593,108387500.0,TLKM.JK
2004-10-04,845.0,880.0,845.0,870.0,137.035995,424210000.0,TLKM.JK
2004-10-05,870.0,880.0,870.0,880.0,138.611099,124827500.0,TLKM.JK
2004-10-06,880.0,880.0,855.0,860.0,135.460846,121337500.0,TLKM.JK
2004-10-07,860.0,860.0,850.0,855.0,134.673294,122927500.0,TLKM.JK
2004-10-08,850.0,860.0,845.0,855.0,134.673294,106670000.0,TLKM.JK
2004-10-11,855.0,870.0,855.0,870.0,137.035995,93287500.0,TLKM.JK
2004-10-12,870.0,870.0,845.0,855.0,134.673294,137947500.0,TLKM.JK
2004-10-13,855.0,870.0,850.0,870.0,137.035995,159010000.0,TLKM.JK
2004-10-14,865.0,870.0,855.0,860.0,135.460846,96632500.0,TLKM.JK
2004-10-15,860.0,860.0,850.0,860.0,135.460846,50477500.0,TLKM.JK
2004-10-18,860.0,860.0,855.0,855.0,134.673294,49295000.0,TLKM.JK
2004-10-19,860.0,880.0,860.0,880.0,138.611099,115110000.0,TLKM.JK
2004-10-20,880.0,880.0,855.0,865.0,136.248398,116622500.0,TLKM.JK
2004-10-21,860.0,860.0,840.0,850.0,133.885727,149800000.0,TLKM.JK
2004-10-22,855.0,875.0,850.0,870.0,137.035995,114285000.0,TLKM.JK
2004-10-25,870.0,870.0,855.0,860.0,135.460846,100930000.0,TLKM.JK
2004-10-26,860.0,860.0,830.0,835.0,131.52301,203522500.0,TLKM.JK
2004-10-27,840.0,845.0,835.0,840.0,132.310593,83790000.0,TLKM.JK
2004-10-28,850.0,865.0,845.0,860.0,135.460846,145990000.0,TLKM.JK
2004-10-29,860.0,875.0,860.0,870.0,137.035995,122360000.0,TLKM.JK
2004-11-01,870.0,875.0,865.0,870.0,137.035995,31657500.0,TLKM.JK
2004-11-02,875.0,925.0,875.0,915.0,144.124069,305235000.0,TLKM.JK
2004-11-03,925.0,955.0,915.0,945.0,148.849411,150347500.0,TLKM.JK
2004-11-04,950.0,955.0,920.0,920.0,144.911606,114440000.0,TLKM.JK
2004-11-05,925.0,940.0,915.0,930.0,146.48671,122157500.0,TLKM.JK
2004-11-08,930.0,930.0,910.0,925.0,145.699158,90492500.0,TLKM.JK
2004-11-09,930.0,935.0,930.0,935.0,147.274277,118007500.0,TLKM.JK
2004-11-10,935.0,955.0,935.0,950.0,149.636993,166045000.0,TLKM.JK
2004-11-11,950.0,950.0,935.0,940.0,148.061844,54052500.0,TLKM.JK
2004-11-12,945.0,950.0,940.0,945.0,148.849411,85222500.0,TLKM.JK
2004-11-15,,,,,,,TLKM.JK
2004-11-16,,,,,,,TLKM.JK
2004-11-17,,,,,,,TLKM.JK
2004-11-18,,,,,,,TLKM.JK
2004-11-19,,,,,,,TLKM.JK
2004-11-22,955.0,1000.0,955.0,990.0,155.9375,220507500.0,TLKM.JK
2004-11-23,990.0,1010.0,990.0,1000.0,157.512619,94610000.0,TLKM.JK
2004-11-24,1010.0,1030.0,1000.0,1020.0,160.662872,59635000.0,TLKM.JK
2004-11-25,1010.0,1010.0,980.0,990.0,155.9375,74615000.0,TLKM.JK
2004-11-26,995.0,1005.0,995.0,1000.0,157.512619,52520000.0,TLKM.JK
2004-11-29,1010.0,1010.0,990.0,990.0,155.9375,44055000.0,TLKM.JK
2004-11-30,990.0,1005.0,990.0,1000.0,157.512619,94097500.0,TLKM.JK
2004-12-01,1000.0,1020.0,1000.0,1020.0,160.662872,51862500.0,TLKM.JK
2004-12-02,1030.0,1060.0,1030.0,1040.0,163.813126,126572500.0,TLKM.JK
2004-12-03,1050.0,1050.0,990.0,1000.0,157.512619,145035000.0,TLKM.JK
2004-12-06,1000.0,1010.0,990.0,1000.0,157.512619,80417500.0,TLKM.JK
2004-12-07,1000.0,1020.0,1000.0,1020.0,160.662872,93810000.0,TLKM.JK
