Date,Open,High,Low,Close,Adj Close,Volume,stock
2015-06-17,22.0,22.0,22.0,22.0,22.0,0,UNVR
2015-06-18,24.1,25.76,24.049999,25.4,25.4,18002100,UNVR
2015-06-19,25.25,27.75,24.67,27.25,27.25,1802600,UNVR
2015-06-22,27.35,27.35,26.17,26.75,26.75,672600,UNVR
2015-06-23,26.48,27.4,26.16,27.0,27.0,865500,UNVR
2015-06-24,27.0,27.0,26.15,26.15,26.15,529800,UNVR
2015-06-25,26.0,26.48,25.59,26.33,26.33,312000,UNVR
2015-06-26,26.700001,26.75,25.02,26.49,26.49,193200,UNVR
2015-06-29,25.790001,26.5,25.67,25.99,25.99,452300,UNVR
2015-06-30,25.959999,26.1,25.690001,26.030001,26.030001,175800,UNVR
2015-07-01,26.5,26.75,25.84,25.959999,25.959999,275900,UNVR
2015-07-02,25.9,26.549999,25.34,25.940001,25.940001,609000,UNVR
2015-07-06,25.469999,26.049999,25.049999,25.309999,25.309999,214600,UNVR
2015-07-07,25.200001,25.5,24.290001,25.41,25.41,245900,UNVR
2015-07-08,24.700001,25.280001,24.57,24.860001,24.860001,125300,UNVR
2015-07-09,25.200001,25.26,24.59,24.91,24.91,111300,UNVR
2015-07-10,25.0,25.219999,24.629999,24.9,24.9,91300,UNVR
2015-07-13,24.75,25.15,24.610001,25.059999,25.059999,363300,UNVR
2015-07-14,25.280001,25.52,24.690001,24.91,24.91,164800,UNVR
2015-07-15,24.85,25.299999,24.809999,24.99,24.99,304700,UNVR
2015-07-16,25.43,25.450001,24.68,24.91,24.91,550100,UNVR
2015-07-17,24.91,26.0,24.91,25.01,25.01,433400,UNVR
2015-07-20,24.870001,24.889999,24.27,24.540001,24.540001,244000,UNVR
2015-07-21,24.870001,24.870001,24.280001,24.48,24.48,118000,UNVR
2015-07-22,24.27,24.525,24.26,24.5,24.5,46200,UNVR
2015-07-23,24.42,24.58,24.309999,24.5,24.5,142000,UNVR
2015-07-24,24.41,24.5,24.25,24.360001,24.360001,99400,UNVR
2015-07-27,24.25,24.275999,23.565001,23.65,23.65,398600,UNVR
2015-07-28,23.6,23.719999,22.690001,22.84,22.84,707100,UNVR
2015-07-29,22.4,22.879999,21.41,22.129999,22.129999,2440000,UNVR
2015-07-30,21.98,24.120001,21.870001,23.940001,23.940001,751300,UNVR
2015-07-31,23.9,24.23,23.77,23.9,23.9,296200,UNVR
2015-08-03,23.52,23.690001,22.379999,22.709999,22.709999,924500,UNVR
2015-08-04,22.85,23.459999,22.780001,22.91,22.91,519700,UNVR
2015-08-05,23.040001,23.74,22.82,23.469999,23.469999,225500,UNVR
2015-08-06,23.799999,23.799999,22.76,23.42,23.42,167900,UNVR
2015-08-07,23.6,24.0,23.309999,23.43,23.43,203500,UNVR
2015-08-10,23.370001,23.65,23.030001,23.209999,23.209999,306700,UNVR
2015-08-11,23.549999,23.549999,22.52,22.65,22.65,208100,UNVR
2015-08-12,22.440001,22.719999,22.004999,22.209999,22.209999,751100,UNVR
2015-08-13,22.43,23.16,22.25,22.82,22.82,408900,UNVR
2015-08-14,23.0,23.0,21.940001,22.040001,22.040001,470400,UNVR
2015-08-17,22.0,22.469999,21.889999,22.200001,22.200001,306900,UNVR
2015-08-18,22.379999,22.51,22.014999,22.370001,22.370001,404000,UNVR
2015-08-19,22.370001,23.225,22.219999,22.52,22.52,633300,UNVR
2015-08-20,22.4,22.780001,22.040001,22.459999,22.459999,279000,UNVR
2015-08-21,22.01,22.6,22.01,22.030001,22.030001,250200,UNVR
2015-08-24,20.74,21.690001,18.92,21.49,21.49,312600,UNVR
2015-08-25,21.889999,22.469999,20.969999,21.15,21.15,353800,UNVR
2015-08-26,20.93,21.719999,19.530001,21.57,21.57,762900,UNVR
2015-08-27,21.540001,22.18,21.540001,22.120001,22.120001,352800,UNVR
2015-08-28,22.030001,22.84,21.870001,22.27,22.27,279400,UNVR
2015-08-31,22.15,23.049999,22.15,22.639999,22.639999,295600,UNVR
2015-09-01,21.959999,22.725,21.9,22.5,22.5,219800,UNVR
2015-09-02,22.51,22.73,22.309999,22.620001,22.620001,286300,UNVR
2015-09-03,22.629999,23.25,22.5,23.07,23.07,384600,UNVR
2015-09-04,22.74,22.83,22.41,22.49,22.49,219000,UNVR
2015-09-08,22.299999,23.290001,22.299999,22.799999,22.799999,532600,UNVR
2015-09-09,22.780001,23.5,22.4,22.48,22.48,369200,UNVR
2015-09-10,22.4,23.26,22.4,22.879999,22.879999,200400,UNVR
2015-09-11,22.870001,23.43,22.834999,22.99,22.99,371200,UNVR
2015-09-14,22.870001,23.07,22.610001,22.74,22.74,402800,UNVR
2015-09-15,22.84,22.84,22.389999,22.700001,22.700001,280400,UNVR
2015-09-16,22.74,23.190001,22.620001,23.0,23.0,693600,UNVR
2015-09-17,22.860001,23.0,22.51,22.59,22.59,585800,UNVR
2015-09-18,22.450001,22.66,20.77,20.77,20.77,2145200,UNVR
2015-09-21,21.27,22.358999,20.299999,20.370001,20.370001,818100,UNVR
2015-09-22,20.290001,20.639999,19.709999,20.379999,20.379999,459800,UNVR
2015-09-23,20.299999,20.65,19.985001,20.33,20.33,385500,UNVR
2015-09-24,20.129999,21.0,19.84,20.65,20.65,423500,UNVR
2015-09-25,20.690001,20.790001,20.174,20.469999,20.469999,428800,UNVR
2015-09-28,20.27,20.459999,19.07,19.09,19.09,449900,UNVR
2015-09-29,19.07,19.18,18.370001,19.120001,19.120001,666700,UNVR
2015-09-30,19.299999,19.58,17.75,18.15,18.15,6453600,UNVR
2015-10-01,18.290001,18.860001,17.469999,17.540001,17.540001,1020600,UNVR
2015-10-02,17.440001,17.440001,16.84,17.18,17.18,561200,UNVR
2015-10-05,17.299999,18.07,17.040001,18.030001,18.030001,510600,UNVR
2015-10-06,18.0,18.450001,17.940001,18.129999,18.129999,408200,UNVR
2015-10-07,18.219999,18.299999,17.75,18.139999,18.139999,505300,UNVR
